mic_id,layer,acoustic_x_mm,acoustic_y_mm,default_rotation_deg,package_center_x_mm,package_center_y_mm,package_to_port_dx_local_mm,package_to_port_dy_local_mm,bus,chip,chip_i2c_addr,chip_channel,chip_slot,pdm_pair,pdm_edge,pcmd_pdm_data_pin,pcmd_pdm_clock_pin,board_pdm_data_net,board_pdm_clock_net,tdm_bus_48k,tdm_slot_48k,tdm_bus_192k_core,tdm_slot_192k_core,is_core16
M01,Inner8,15.00,1.00,3.8,14.32,0.95,0.68,0.00,A,U1,0x4C,CH1,0,1,L,PDMDIN1_GPI1,PDMCLK1_GPO1,U1_PDM_DAT1,U1_PDM_CLK1,TDM_A,0,TDM_A,0,1
M02,Inner8,15.80,8.60,28.6,15.20,8.27,0.68,0.00,A,U1,0x4C,CH2,1,1,R,PDMDIN1_GPI1,PDMCLK1_GPO1,U1_PDM_DAT1,U1_PDM_CLK1,TDM_A,1,TDM_A,1,1
M03,Inner8,8.20,15.20,61.7,7.88,14.60,0.68,0.00,A,U2,0x4D,CH1,0,1,L,PDMDIN1_GPI1,PDMCLK1_GPO1,U2_PDM_DAT1,U2_PDM_CLK1,TDM_A,8,TDM_A,4,1
M04,Inner8,-0.80,15.70,92.9,-0.77,15.02,0.68,0.00,A,U2,0x4D,CH2,1,1,R,PDMDIN1_GPI1,PDMCLK1_GPO1,U2_PDM_DAT1,U2_PDM_CLK1,TDM_A,9,TDM_A,5,1
M05,Inner8,-15.30,7.10,155.1,-14.68,6.81,0.68,0.00,B,U3,0x4E,CH1,0,1,L,PDMDIN1_GPI1,PDMCLK1_GPO1,U3_PDM_DAT1,U3_PDM_CLK1,TDM_B,0,TDM_B,0,1
M06,Inner8,-15.60,-0.80,182.9,-14.92,-0.77,0.68,0.00,B,U3,0x4E,CH2,1,1,R,PDMDIN1_GPI1,PDMCLK1_GPO1,U3_PDM_DAT1,U3_PDM_CLK1,TDM_B,1,TDM_B,1,1
M07,Inner8,-8.30,-14.80,240.7,-7.97,-14.21,0.68,0.00,B,U4,0x4F,CH1,0,1,L,PDMDIN1_GPI1,PDMCLK1_GPO1,U4_PDM_DAT1,U4_PDM_CLK1,TDM_B,8,TDM_B,4,1
M08,Inner8,1.50,-15.40,275.6,1.43,-14.72,0.68,0.00,B,U4,0x4F,CH2,1,1,R,PDMDIN1_GPI1,PDMCLK1_GPO1,U4_PDM_DAT1,U4_PDM_CLK1,TDM_B,9,TDM_B,5,1
M09,Transition8,25.50,10.50,22.4,24.87,10.24,0.68,0.00,A,U1,0x4C,CH3,2,2,L,PDMDIN2_GPI2,PDMCLK2_GPO2,U1_PDM_DAT2,U1_PDM_CLK2,TDM_A,2,TDM_A,2,1
M10,Transition8,13.00,27.50,64.7,12.71,26.89,0.68,0.00,A,U1,0x4C,CH4,3,2,R,PDMDIN2_GPI2,PDMCLK2_GPO2,U1_PDM_DAT2,U1_PDM_CLK2,TDM_A,3,TDM_A,3,1
M11,Transition8,-11.00,26.00,112.9,-10.74,25.37,0.68,0.00,A,U2,0x4D,CH3,2,2,L,PDMDIN2_GPI2,PDMCLK2_GPO2,U2_PDM_DAT2,U2_PDM_CLK2,TDM_A,10,TDM_A,6,1
M12,Transition8,-27.50,11.00,158.2,-26.87,10.75,0.68,0.00,A,U2,0x4D,CH4,3,2,R,PDMDIN2_GPI2,PDMCLK2_GPO2,U2_PDM_DAT2,U2_PDM_CLK2,TDM_A,11,TDM_A,7,1
M13,Transition8,-25.00,-11.50,204.7,-24.38,-11.22,0.68,0.00,B,U3,0x4E,CH3,2,2,L,PDMDIN2_GPI2,PDMCLK2_GPO2,U3_PDM_DAT2,U3_PDM_CLK2,TDM_B,2,TDM_B,2,1
M14,Transition8,-13.50,-28.00,244.3,-13.20,-27.39,0.68,0.00,B,U3,0x4E,CH4,3,2,R,PDMDIN2_GPI2,PDMCLK2_GPO2,U3_PDM_DAT2,U3_PDM_CLK2,TDM_B,3,TDM_B,3,1
M15,Transition8,10.50,-26.50,291.6,10.25,-25.87,0.68,0.00,B,U4,0x4F,CH3,2,2,L,PDMDIN2_GPI2,PDMCLK2_GPO2,U4_PDM_DAT2,U4_PDM_CLK2,TDM_B,10,TDM_B,6,1
M16,Transition8,27.00,-12.00,336.0,26.38,-11.72,0.68,0.00,B,U4,0x4F,CH4,3,2,R,PDMDIN2_GPI2,PDMCLK2_GPO2,U4_PDM_DAT2,U4_PDM_CLK2,TDM_B,11,TDM_B,7,1
M17,Outer16,5.00,46.00,83.8,4.93,45.32,0.68,0.00,A,U1,0x4C,CH5,4,3,L,PDMDIN3_GPI3,PDMCLK3_GPO3,U1_PDM_DAT3,U1_PDM_CLK3,TDM_A,4,,,0
M18,Outer16,19.00,47.00,68.0,18.75,46.37,0.68,0.00,A,U1,0x4C,CH6,5,3,R,PDMDIN3_GPI3,PDMCLK3_GPO3,U1_PDM_DAT3,U1_PDM_CLK3,TDM_A,5,,,0
M19,Outer16,36.00,44.50,51.0,35.57,43.97,0.68,0.00,A,U1,0x4C,CH7,6,4,L,PDMDIN4_GPI4,PDMCLK4_GPO4,U1_PDM_DAT4,U1_PDM_CLK4,TDM_A,6,,,0
M20,Outer16,46.00,28.00,31.3,45.42,27.65,0.68,0.00,A,U1,0x4C,CH8,7,4,R,PDMDIN4_GPI4,PDMCLK4_GPO4,U1_PDM_DAT4,U1_PDM_CLK4,TDM_A,7,,,0
M21,Outer16,47.00,10.00,12.0,46.33,9.86,0.68,0.00,B,U4,0x4F,CH5,4,3,L,PDMDIN3_GPI3,PDMCLK3_GPO3,U4_PDM_DAT3,U4_PDM_CLK3,TDM_B,12,,,0
M22,Outer16,43.00,-11.00,345.7,42.34,-10.83,0.68,0.00,B,U4,0x4F,CH6,5,3,R,PDMDIN3_GPI3,PDMCLK3_GPO3,U4_PDM_DAT3,U4_PDM_CLK3,TDM_B,13,,,0
M23,Outer16,31.00,-31.00,315.0,30.52,-30.52,0.68,0.00,B,U4,0x4F,CH7,6,4,L,PDMDIN4_GPI4,PDMCLK4_GPO4,U4_PDM_DAT4,U4_PDM_CLK4,TDM_B,14,,,0
M24,Outer16,13.00,-46.00,285.8,12.82,-45.35,0.68,0.00,B,U4,0x4F,CH8,7,4,R,PDMDIN4_GPI4,PDMCLK4_GPO4,U4_PDM_DAT4,U4_PDM_CLK4,TDM_B,15,,,0
M25,Outer16,-8.00,-47.00,260.3,-7.89,-46.33,0.68,0.00,B,U3,0x4E,CH5,4,3,L,PDMDIN3_GPI3,PDMCLK3_GPO3,U3_PDM_DAT3,U3_PDM_CLK3,TDM_B,4,,,0
M26,Outer16,-26.00,-45.00,240.0,-25.66,-44.41,0.68,0.00,B,U3,0x4E,CH6,5,3,R,PDMDIN3_GPI3,PDMCLK3_GPO3,U3_PDM_DAT3,U3_PDM_CLK3,TDM_B,5,,,0
